product_id,name,category,brand,model,description,price,cost,stock,min_stock,supplier,supplier_contact,warehouse_location,barcode,sku,weight_kg,dimensions_cm,color,size,material,warranty_months,date_added,last_restock,expiry_date,discount_percent,tax_rate,is_active,rating,reviews_count,units_sold,revenue
P001,Laptop,Electronics,Apple,MacBook Air M2,Lightweight laptop with M2 chip,1200.00,900.00,15,5,TechSupply Inc,tech@supply.com,A-12,7123456789012,LAP-APL-M2-001,1.24,30x21x2,Silver,13inch,Aluminum,24,2024-01-15,2025-12-20,None,10,19,true,4.8,324,1250,1500000.00
P002,Smartphone,Electronics,Samsung,Galaxy S23,5G smartphone with 256GB,850.00,650.00,25,10,MobileCorp,mobile@corp.com,A-08,7123456789013,PHN-SAM-S23-001,0.18,15x7x1,Black,6.1inch,Glass,12,2024-02-10,2026-01-05,None,15,19,true,4.6,512,2100,1785000.00
P003,Tablet,Electronics,Lenovo,Tab P11,11inch Android tablet,300.00,220.00,30,8,TabletWorld,tablets@world.com,B-15,7123456789014,TAB-LEN-P11-001,0.49,26x17x1,Grey,11inch,Plastic,12,2024-03-05,2025-11-30,None,5,19,true,4.3,189,450,135000.00
P004,Smartwatch,Wearables,Garmin,Forerunner 255,GPS running watch,350.00,250.00,20,6,WearableTech,wear@tech.com,C-04,7123456789015,WAT-GAR-255-001,0.05,4x4x1,Blue,42mm,Silicone,24,2024-01-20,2025-12-15,None,0,19,true,4.7,278,680,238000.00
P005,Headphones,Audio,Sony,WH-1000XM5,Noise-cancelling headphones,400.00,280.00,18,7,AudioPro,audio@pro.com,A-20,7123456789016,AUD-SON-XM5-001,0.25,20x18x8,Black,OneSize,Plastic,24,2024-02-15,2026-01-10,None,10,19,true,4.9,856,1540,616000.00
P006,Monitor,Electronics,Dell,UltraSharp U2723QE,27inch 4K monitor,650.00,480.00,12,4,DisplayCo,display@co.com,B-22,7123456789017,MON-DEL-U27-001,5.60,61x52x18,Black,27inch,Plastic,36,2024-01-10,2025-10-20,None,0,19,true,4.5,145,320,208000.00
P007,Printer,Office,HP,LaserJet Pro M404dn,Black and white laser printer,220.00,150.00,35,10,OfficeSolutions,office@solutions.com,C-18,7123456789018,PRI-HP-M404-001,8.90,40x36x25,White,OneSize,Plastic,12,2024-03-01,2025-12-05,None,8,19,true,4.2,234,580,127600.00
P008,Camera,Photography,Canon,EOS R10,Mirrorless camera 24.2MP,980.00,720.00,8,3,PhotoGear,photo@gear.com,A-05,7123456789019,CAM-CAN-R10-001,0.43,13x9x9,Black,OneSize,Magnesium,12,2024-02-20,2025-11-15,None,5,19,true,4.8,421,290,284200.00
P009,Router,Networking,TP-Link,Archer AX55,WiFi 6 dual-band router,130.00,85.00,45,15,NetworkHub,network@hub.com,B-30,7123456789020,NET-TPL-AX55-001,0.48,26x15x4,Black,OneSize,Plastic,24,2024-01-25,2026-01-08,None,12,19,true,4.4,567,1200,156000.00
P010,Keyboard,Accessories,Logitech,MX Keys,Wireless mechanical keyboard,100.00,65.00,50,20,AccessoryCo,accessories@co.com,C-25,7123456789021,KEY-LOG-MX-001,0.81,43x13x2,Black,FullSize,Aluminum,24,2024-02-05,2025-12-28,None,15,19,true,4.7,923,2340,234000.00
P011,Mouse,Accessories,Logitech,MX Master 3S,Ergonomic wireless mouse,85.00,55.00,60,25,AccessoryCo,accessories@co.com,C-26,7123456789022,MOU-LOG-MX3-001,0.14,12x8x5,Grey,OneSize,Plastic,24,2024-01-30,2026-01-02,None,10,19,true,4.8,1245,3100,263500.00
P012,External SSD,Storage,Samsung,T7,1TB portable SSD,180.00,120.00,40,12,StoragePlus,storage@plus.com,B-08,7123456789023,STO-SAM-T7-001,0.06,9x6x1,Red,1TB,Metal,36,2024-02-25,2025-11-25,None,20,19,true,4.6,678,890,160200.00
